Model,Validation Accuracy,Validation F1-Score,Test Accuracy,Test F1-Score,Mean CV F1-Score,CV F1-Std
Logistic Regression,0.8619883040935673,0.8619822909665532,0.8714979236123297,0.871490575549957,0.8661168919225428,0.0037924097783538528
Random Forest,0.9999415204678362,0.9999415204452361,0.9999415102064689,0.9999415102032674,0.9999824522919329,3.509541617637746e-05
