Model,Validation Accuracy,Validation F1-Score,Test Accuracy,Test F1-Score,Mean CV Accuracy,CV Accuracy Std
Logistic Regression,0.8607963405759435,0.860765252281203,0.8697098887386919,0.8696805008606814,0.8654677369964073,0.0036557141236592903
Random Forest,1.0,1.0,0.9998960174690652,0.9998960162556555,0.9999688036187802,9.35891436593339e-05
