Model,Test Accuracy,Test F1-Score,Mean CV F1-Score,CV F1-Std
Logistic Regression,0.8776101070363221,0.8776010595771222,0.8743995186834128,0.0033704220680016673
Random Forest,0.9999561326548517,0.9999561326544296,0.9999824530618057,3.5093876388758714e-05
